featureName,rank
days_since_last_new_start_date,0.0
monthly_cost,1.0
tenuredays,2.0
rate_price_group,3.0
site_code,5.0
avg_lift,6.5
full_conversation_text,6.5
days_since_last_stop_intent,7.0
idsystem,8.0
unique_paths,9.0
frequency,10.0
days_since_first_stop_intent,11.0
avg_support,13.0
max_lift,13.5
rolling_31d_avg_frequency,14.0
stop_intents_last_7_days,16.0
publication_name,16.5
rolling_31d_std_frequency,18.0
home_assessed_value,18.5
cumulative_frequency,19.5
frequency_trend,22.0
cumulative_volume,22.5
avg_confidence,24.0
market,26.0
unique_segments,26.0
newsgroup,26.0
home_length_of_residence,26.5
max_confidence,28.5
age_first_individual,29.0
rfv_bin_score,30.0
census_median_home_value,30.5
frequency_volume_ratio,32.0
home_purchase_amt,33.0
high_affinity_ratio,34.0
queue,34.5
recency_change,35.0
video_engagement_ratio,35.5
max_support,35.5
rolling_31d_avg_rfv_bin_score,36.0
ExactAge,37.0
content_diversity_ratio,37.0
strong_affinity_count,39.0
total_positive_affinities,40.0
unique_sections_90d,40.0
unique_articles_30d,40.0
unique_sources_90d,43.0
prev_rfv_bin_score,43.0
rolling_31d_avg_modelscore,43.5
high_affinity_count,44.0
customer_message_count,45.0
breaking_news_std,47.0
income_est_hh,48.0
volume_change_pct,51.0
occupation,51.0
pubcode,51.5
modelscore_trend,52.0
stop_intents_last_14_days,52.0
craftperson,53.0
video_plays_90d,54.0
app_sessions_30d,54.0
overall_days_since_last,55.0
overall_days_since_first,55.0
unique_referrers_90d,55.0
other_days_since_last,57.0
total_customer_speak_time,57.5
avg_daily_pushes,58.0
affinity_segment,59.0
frequency_change,61.0
unique_mediums_90d,61.5
platform_diversity_ratio,62.0
primary_referrer_ratio,62.5
rolling_31d_std_volume,62.5
other_avg_age,63.0
daily_brief_ratio,64.0
volume_trend,64.5
daily_brief_days_since_first,68.0
sfdu,68.0
max_daily_pushes,68.0
session_trend_ratio,68.0
first_30d_5andmore_sessions,68.0
unique_articles_90d,69.0
rolling_31d_avg_volume,69.5
unique_articles_7d,70.5
agent_message_count,72.0
video_plays_30d,72.5
active_days_trend_ratio,73.0
site_diversity_ratio,73.0
other_days_since_first,73.5
modelscore,74.0
volume,74.0
primary_device_ratio,75.0
primary_app_device,76.0
tier,76.5
primary_source_medium,77.0
recency_to_snapshot,77.5
other_adoption_rate_30d,78.0
long_term_retention_rate,79.0
direct_sessions_90d,79.0
children_present,80.0
primary_source_ratio,81.0
mdu,81.0
app_trend_ratio,82.0
avg_daily_push_depth,82.0
other_adoption_rate_180d,83.0
handle_time,84.0
total_newsletters,86.0
unique_platforms_90d,87.0
total_breaking_news,88.0
retired,89.0
days_with_push_notifications,89.0
direct_traffic_ratio,89.0
primary_referrer_count,89.5
number_of_children,90.0
first_week_sessions,90.0
first_30d_sections,90.5
wait_time,91.0
first_30d_enthusiasm_ratio,91.5
primary_source_medium_count,91.5
daily_brief_velocity_30d,92.0
first_30d_sessions,92.5
talk_time,93.0
active_days_90d,93.0
days_since_last_visit,93.0
lt_hs_grad,94.0
primary_referrer,95.0
owner_renter,96.0
page_views_90d,96.0
first_30d_active_days,96.0
avg_pushes_last_14d,97.0
tech_pro,99.0
days_since_last_conversation,99.0
net_newsletter_change,100.0
first_30d_app_adoption_rate,102.0
home_owner,104.0
daily_brief_sites,105.0
college_grad,106.0
daily_brief_total,107.0
daily_brief_days_since_last,108.0
app_sections_90d,109.0
active_days_30d,110.0
salesperson,112.0
rfv_bin_score_change,113.0
other_new_180d,114.0
other_sites,115.0
rfv_bin,116.0
is_shared_license,118.0
is_recent_activity,119.0
stop_intents_last_30_days,121.0
is_increasing_frequency,122.0
first_30d_video_plays,123.0
other_diversity_score,124.0
total_sites,125.0
financial_pro,126.0
ring_duration,127.0
total_stop_intents,128.0
recent_breaking_news_notifications,129.0
other_velocity_30d,130.0
hs_grad,131.0
license_type_name,132.0
days_with_breaking_news,134.0
active_hours_ratio_breaking_news,135.0
rfv_bucket_movement_score,136.0
overall_diversity_score,137.0
app_usage_ratio,138.0
app_active_days_90d,139.0
daily_brief_adoption_rate_30d,141.0
weekday_ratio_breaking_news,142.0
hold_time,143.0
location,144.0
overall_avg_age,146.0
long_term_subscriptions,146.0
managerial,147.0
app_video_plays_90d,148.0
is_increasing_volume,149.0
first_30d_engagement_ratio,150.0
app_adoption_timing,150.0
first_30d_app_sessions,151.0
recency_bucket,152.0
other_new_30d,153.0
newsletter_mix_segment,154.0
total_sessions_90d,154.5
daily_brief_adoption_rate_180d,155.0
app_downloaded,156.0
enews_sessions,157.0
unique_sites_90d,158.0
preferred_time_consistency,159.0
morning_days_90d,160.0
enews_usage_ratio,161.0
first_30d_morning_days,161.5
enews_active_days,162.0
daily_brief_new_30d,163.0
daily_brief_adoption_trend_30d,164.0
avg_days_between_stop_intents,165.0
afternoon_days_90d,166.0
app_morning_days_90d,167.0
unique_sites_30d,168.0
daily_brief_diversity_score,169.0
interaction_duration,170.0
user_status,171.0
other_total,172.0
professional,173.0
stop_intent_rolling_avg,174.0
married,175.0
active_days_7d,176.0
self_employed,177.0
stop_intent_ratio_90d_180d,178.0
daily_brief_new_180d,179.0
unique_devices_90d,180.0
daily_brief_segment,181.0
e_hispanic_language_preference,183.0
presence_of_young_adult,184.0
first_30d_weekend_days,185.0
stop_intent_ratio_30d_90d,186.0
recent_session_trend,187.0
daily_brief_avg_age,188.0
clerical,189.0
first_30d_weekend_ratio,192.0
sessions_7d,194.0
other_newsletter_segment,195.0
popular_content_ratio,196.0
breadth,197.0
total_agent_speak_time,199.0
sessions_30d,200.0
app_articles_90d,202.0
acw_time,204.0
app_weekend_days_90d,205.0
app_sessions_90d,207.0
engagement_consistency,208.0
evening_days_90d,209.0
stop_intents_last_180_days,210.0
stop_intents_last_360_days,212.0
Top12_Growth_Market,213.0
app_weekend_ratio,219.0
stop_intents_last_90_days,223.0
stop_intent_frequency_category,233.0
stop_intent_recency_category,235.0
stop_intent_trend_90d,236.0
